row_id,value_date,post_date,details,ref_no_cheque_no,debit,credit,balance,bank_date,bank_amount,bank_debit,narration,bank_reference,transaction_type,is_credit,source,source_confidence,source_reason
15,2026-06-26,2026-06-26,DEP TFR/NEFT/CR/RZP/20260608HDFC7101,AXIS782088,0.0,227165.31,1483295.32,2026-06-26,227165.31,0.0,DEP TFR/NEFT/CR/RZP/20260608HDFC7101,AXIS782088,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
16,2026-06-26,2026-06-26,WDL TFR/IMPS/DR/7470/NOVA,ICICI62585311,7470.0,0.0,1475825.32,2026-06-26,0.0,7470.0,WDL TFR/IMPS/DR/7470/NOVA,ICICI62585311,IMPS,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
17,2026-06-26,2026-06-26,DEP TFR/NEFT/CR/ORBIT OFFICE SOLUTIONS,KKBK11648035,0.0,830.7,1476656.02,2026-06-26,830.7,0.0,DEP TFR/NEFT/CR/ORBIT OFFICE SOLUTIONS,KKBK11648035,NEFT,True,DIRECT_LEDGER,85.0,No Razorpay identifier; Customer name 'SOLUTIONS' found. points toward direct payment.
18,2026-06-29,2026-06-29,DEP TFR/NEFT/CR/RZPY SETL PARTIAL/RZPY-P2,RZPY-P2,0.0,59963.39,1536619.41,2026-06-29,59963.39,0.0,DEP TFR/NEFT/CR/RZPY SETL PARTIAL/RZPY-P2,RZPY-P2,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
19,2026-06-29,2026-06-29,DEP TFR/NEFT/CR/RZPY/20260609HDFC8078,RZP20260609HDFC8078,0.0,73288.59,1609908.0,2026-06-29,73288.59,0.0,DEP TFR/NEFT/CR/RZPY/20260609HDFC8078,RZP20260609HDFC8078,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
20,2026-06-30,2026-06-30,DEP TFR/NEFT/CR/RZP/20260610INDB9773,AXIS143498,0.0,136799.6,1746707.6,2026-06-30,136799.6,0.0,DEP TFR/NEFT/CR/RZP/20260610INDB9773,AXIS143498,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
21,2026-07-01,2026-07-01,DEP TFR/NEFT/CR/RZPY/20260611SBIN9506,RZP20260611SBIN9506,0.0,98125.46,1844833.06,2026-07-01,98125.46,0.0,DEP TFR/NEFT/CR/RZPY/20260611SBIN9506,RZP20260611SBIN9506,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
22,2026-07-01,2026-07-01,DEP TFR/NEFT/CR/DELTA MEDIA HOUSE,AXIS59176469,0.0,68475.0,1913308.06,2026-07-01,68475.0,0.0,DEP TFR/NEFT/CR/DELTA MEDIA HOUSE,AXIS59176469,NEFT,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
23,2026-07-01,2026-07-01,DEP TFR/UPI/CR/842619537204/DELTA, HDFC62394154,0.0,2227.2,1915535.26,2026-07-01,2227.2,0.0,DEP TFR/UPI/CR/842619537204/DELTA, HDFC62394154,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
24,2026-07-02,2026-07-02,DEP TFR/NEFT/CR/RZPY/20260612ICICI3175,AXIS892686,0.0,86402.02,2001937.28,2026-07-02,86402.02,0.0,DEP TFR/NEFT/CR/RZPY/20260612ICICI3175,AXIS892686,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
25,2026-07-02,2026-07-02,ATM WDL/ARUN TRADERS/ATM01,ICICI93271982,10572.0,0.0,1991365.28,2026-07-02,0.0,10572.0,ATM WDL/ARUN TRADERS/ATM01,ICICI93271982,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
26,2026-07-02,2026-07-02,CASH DEP/KIRAN SUPPLIERS/BRANCH,ICICI24355028,0.0,4497.6,1995862.88,2026-07-02,4497.6,0.0,CASH DEP/KIRAN SUPPLIERS/BRANCH,ICICI24355028,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
27,2026-07-03,2026-07-03,DEP TFR/NEFT/CR/RZPY/20260613KKBK7654,RZP20260613KKBK7654,0.0,161649.46,2157512.34,2026-07-03,161649.46,0.0,DEP TFR/NEFT/CR/RZPY/20260613KKBK7654,RZP20260613KKBK7654,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
28,2026-07-04,2026-07-04,DEP TFR/NEFT/CR/RZPY/20260614AXIS1476,AXIS201123,0.0,216340.54,2373852.88,2026-07-04,216340.54,0.0,DEP TFR/NEFT/CR/RZPY/20260614AXIS1476,AXIS201123,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
29,2026-07-06,2026-07-06,DEP TFR/NEFT/CR/RZP/20260615AXIS3112,AXIS461704,0.0,137186.15,2511039.03,2026-07-06,137186.15,0.0,DEP TFR/NEFT/CR/RZP/20260615AXIS3112,AXIS461704,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
30,2026-07-07,2026-07-07,DEP TFR/NEFT/CR/RZPY SETTLEMENT/REV,UTR-MISSING,0.0,137186.15,2648225.18,2026-07-07,137186.15,0.0,DEP TFR/NEFT/CR/RZPY SETTLEMENT/REV,UTR-MISSING,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
31,2026-07-07,2026-07-07,DEP TFR/NEFT/CR/RZPY/20260616HDFC8493,RZP20260616HDFC8493,0.0,194044.36,2842269.54,2026-07-07,194044.36,0.0,DEP TFR/NEFT/CR/RZPY/20260616HDFC8493,RZP20260616HDFC8493,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
32,2026-07-08,2026-07-08,DEP TFR/NEFT/CR/RZPY/20260617AXIS9875,AXIS490646,0.0,261634.08,3103903.62,2026-07-08,261634.08,0.0,DEP TFR/NEFT/CR/RZPY/20260617AXIS9875,AXIS490646,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
33,2026-07-08,2026-07-08,BANK CHG/MEERA CONSULTING,SBIN33849014,1440.0,0.0,3102463.62,2026-07-08,0.0,1440.0,BANK CHG/MEERA CONSULTING,SBIN33849014,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
34,2026-07-09,2026-07-09,DEP TFR/NEFT/CR/CLIENT TRANSFER/ARUN TRADERS,NTRF778821,0.0,80956.97,3183420.59,2026-07-09,80956.97,0.0,DEP TFR/NEFT/CR/CLIENT TRANSFER/ARUN TRADERS,NTRF778821,NEFT,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
35,2026-07-09,2026-07-09,DEP TFR/NEFT/CR/RZPY/20260618AXIS6271,RZP20260618AXIS6271,0.0,80956.97,3264377.56,2026-07-09,80956.97,0.0,DEP TFR/NEFT/CR/RZPY/20260618AXIS6271,RZP20260618AXIS6271,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
36,2026-07-09,2026-07-09,INT CR/MEERA CONSULTING,HDFC18796288,0.0,1457.5,3265835.06,2026-07-09,1457.5,0.0,INT CR/MEERA CONSULTING,HDFC18796288,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
37,2026-07-10,2026-07-10,DEP TFR/NEFT/CR/RZPY/20260619KKBK9821,RZP20260619KKBK9821,0.0,92681.81,3358516.87,2026-07-10,92681.81,0.0,DEP TFR/NEFT/CR/RZPY/20260619KKBK9821,RZP20260619KKBK9821,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
38,2026-07-10,2026-07-10,ACH DR/ARUN TRADERS/778,ICICI92854640,778.7,0.0,3357738.17,2026-07-10,0.0,778.7,ACH DR/ARUN TRADERS/778,ICICI92854640,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
39,2026-07-10,2026-07-10,DEP TFR/UPI/CR/913847562001/NOVA,INDB91319678,0.0,72225.0,3429963.17,2026-07-10,72225.0,0.0,DEP TFR/UPI/CR/913847562001/NOVA,INDB91319678,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
40,2026-07-13,2026-07-13,DEP TFR/NEFT/CR/RZPY/20260620SBIN2018,RZP20260620SBIN2018,0.0,107484.08,3537447.25,2026-07-13,107484.08,0.0,DEP TFR/NEFT/CR/RZPY/20260620SBIN2018,RZP20260620SBIN2018,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
41,2026-07-14,2026-07-14,DEP TFR/NEFT/CR/RZPY/20260621AXIS3921,AXIS973737,0.0,180227.0,3717674.25,2026-07-14,180227.0,0.0,DEP TFR/NEFT/CR/RZPY/20260621AXIS3921,AXIS973737,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
42,2026-07-14,2026-07-14,WDL TFR/UPI/DR/781923640117/MEERA,AXIS96076939,6525.0,0.0,3711149.25,2026-07-14,0.0,6525.0,WDL TFR/UPI/DR/781923640117/MEERA,AXIS96076939,UPI,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
43,2026-07-16,2026-07-16,DEP TFR/NEFT/CR/RZPY/20260623YESB8170,AXIS217630,0.0,154192.58,3865341.83,2026-07-16,154192.58,0.0,DEP TFR/NEFT/CR/RZPY/20260623YESB8170,AXIS217630,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
44,2026-07-16,2026-07-16,WDL TFR/IMPS/DR/DELTA MEDIA HOUSE,AXIS37384748,22750.0,0.0,3842591.83,2026-07-16,0.0,22750.0,WDL TFR/IMPS/DR/DELTA MEDIA HOUSE,AXIS37384748,IMPS,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
45,2026-07-17,2026-07-17,DEP TFR/NEFT/CR/RZPY/20260624AXIS4254,RZP20260624AXIS4254,0.0,167926.38,4010518.21,2026-07-17,167926.38,0.0,DEP TFR/NEFT/CR/RZPY/20260624AXIS4254,RZP20260624AXIS4254,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
46,2026-07-17,2026-07-17,DEP TFR/NEFT/CR/NOVA LOGISTICS,ICICI28957550,0.0,1108.75,4011626.96,2026-07-17,1108.75,0.0,DEP TFR/NEFT/CR/NOVA LOGISTICS,ICICI28957550,NEFT,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
47,2026-07-18,2026-07-18,DEP TFR/NEFT/CR/RZPY/20260625AXIS4982,RZP20260625AXIS4982,0.0,306161.94,4317788.9,2026-07-18,306161.94,0.0,DEP TFR/NEFT/CR/RZPY/20260625AXIS4982,RZP20260625AXIS4982,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
48,2026-07-18,2026-07-18,WDL TFR/NEFT/DR/DELTA MEDIA HOUSE,INDB45044979,10740.0,0.0,4307048.9,2026-07-18,0.0,10740.0,WDL TFR/NEFT/DR/DELTA MEDIA HOUSE,INDB45044979,NEFT,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
49,2026-07-19,2026-07-19,INT CR/ARUN TRADERS,INDB43263910,0.0,1162.5,4308211.4,2026-07-19,1162.5,0.0,INT CR/ARUN TRADERS,INDB43263910,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
50,2026-07-20,2026-07-20,CASH DEP/ARUN TRADERS,SBIN90104065,0.0,12000.0,4320211.4,2026-07-20,12000.0,0.0,CASH DEP/ARUN TRADERS,SBIN90104065,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
51,2026-07-20,2026-07-21,DEP TFR/NEFT/CR/RZPY/20260626KKBK3006,RZP20260626KKBK3006,0.0,87348.12,4407559.52,2026-07-20,87348.12,0.0,DEP TFR/NEFT/CR/RZPY/20260626KKBK3006,RZP20260626KKBK3006,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
52,2026-07-21,2026-07-21,DEP TFR/NEFT/CR/RZPY/20260627SBIN2194,RZP20260627SBIN2194,0.0,102598.44,4510157.96,2026-07-21,102598.44,0.0,DEP TFR/NEFT/CR/RZPY/20260627SBIN2194,RZP20260627SBIN2194,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
53,2026-07-21,2026-07-21,ATM WDL/KIRAN SUPPLIERS/ATM03,ICICI73449050,1338.75,0.0,4508819.21,2026-07-21,0.0,1338.75,ATM WDL/KIRAN SUPPLIERS/ATM03,ICICI73449050,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
54,2026-07-22,2026-07-22,DEP TFR/NEFT/CR/RZPY/20260628ICICI5763,RZP20260628ICICI5763,0.0,144676.25,4653495.46,2026-07-22,144676.25,0.0,DEP TFR/NEFT/CR/RZPY/20260628ICICI5763,RZP20260628ICICI5763,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
55,2026-07-23,2026-07-23,DEP TFR/NEFT/CR/RZPY/20260629KKBK8443,RZP20260629KKBK8443,0.0,77836.17,4731331.63,2026-07-23,77836.17,0.0,DEP TFR/NEFT/CR/RZPY/20260629KKBK8443,RZP20260629KKBK8443,NEFT,True,RAZORPAY,100.0,Razorpay identifier found in bank reference or narration.
56,2026-07-23,2026-07-23,WDL TFR/NEFT/DR/MEERA CONSULTING,ICICI92340989,37044.0,0.0,4694287.63,2026-07-23,0.0,37044.0,WDL TFR/NEFT/DR/MEERA CONSULTING,ICICI92340989,NEFT,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
57,2026-07-24,2026-07-24,ACH DR/MEERA CONSULTING/2714,SBIN58405707,2714.4,0.0,4691573.23,2026-07-24,0.0,2714.4,ACH DR/MEERA CONSULTING/2714,SBIN58405707,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
58,2026-07-29,2026-07-30,INT CR/MEERA CONSULTING,YESB36210646,0.0,27660.0,4719233.23,2026-07-29,27660.0,0.0,INT CR/MEERA CONSULTING,YESB36210646,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
59,2026-07-30,2026-07-31,ACH DR/GREENFIELD FOODS/KKBK, KKBK71264605,1242.5,0.0,4717990.73,2026-07-30,0.0,1242.5,ACH DR/GREENFIELD FOODS/KKBK, KKBK71264605,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
60,2026-07-31,2026-07-31,DEP TFR/UPI/CR/831726450921/NOVA,INDB76094233,0.0,1150.0,4719140.73,2026-07-31,1150.0,0.0,DEP TFR/UPI/CR/831726450921/NOVA,INDB76094233,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
61,2026-08-01,2026-08-01,DEP TFR/UPI/CR/729381645204/NOVA,ICICI47243376,0.0,71250.0,4790390.73,2026-08-01,71250.0,0.0,DEP TFR/UPI/CR/729381645204/NOVA,ICICI47243376,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
62,2026-08-05,2026-08-05,INT CR/GREENFIELD FOODS,SBIN25921319,0.0,1489.6,4791880.33,2026-08-05,1489.6,0.0,INT CR/GREENFIELD FOODS,SBIN25921319,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
63,2026-08-06,2026-08-06,WDL TFR/ACH/DR/NOVA LOGISTICS,SBIN21625800,899.1,0.0,4790981.23,2026-08-06,0.0,899.1,WDL TFR/ACH/DR/NOVA LOGISTICS,SBIN21625800,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
64,2026-08-07,2026-08-07,INT CR/KIRAN SUPPLIERS,AXIS59066016,0.0,23725.0,4814706.23,2026-08-07,23725.0,0.0,INT CR/KIRAN SUPPLIERS,AXIS59066016,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
65,2026-08-11,2026-08-12,DEP TFR/UPI/CR/619283745001/GREENFIELD,SBIN86588639,0.0,35952.0,4850658.23,2026-08-11,35952.0,0.0,DEP TFR/UPI/CR/619283745001/GREENFIELD,SBIN86588639,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
66,2026-08-12,2026-08-12,WDL TFR/IMPS/DR/DELTA MEDIA HOUSE,YESB55231152,4440.0,0.0,4846218.23,2026-08-12,0.0,4440.0,WDL TFR/IMPS/DR/DELTA MEDIA HOUSE,YESB55231152,IMPS,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
67,2026-08-12,2026-08-12,DEP TFR/NEFT/CR/ARUN TRADERS,AXIS65104034,0.0,11844.0,4858062.23,2026-08-12,11844.0,0.0,DEP TFR/NEFT/CR/ARUN TRADERS,AXIS65104034,NEFT,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
68,2026-08-15,2026-08-15,DEP TFR/UPI/CR/719382640155/KIRAN,HDFC31114884,0.0,44688.0,4902750.23,2026-08-15,44688.0,0.0,DEP TFR/UPI/CR/719382640155/KIRAN,HDFC31114884,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
69,2026-08-18,2026-08-18,ATM WDL/NOVA LOGISTICS/ATM07,AXIS57120107,19692.0,0.0,4883058.23,2026-08-18,0.0,19692.0,ATM WDL/NOVA LOGISTICS/ATM07,AXIS57120107,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
70,2026-08-19,2026-08-19,INT CR/NOVA LOGISTICS,YESB61793126,0.0,83475.0,4966533.23,2026-08-19,83475.0,0.0,INT CR/NOVA LOGISTICS,YESB61793126,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
71,2026-08-21,2026-08-21,WDL TFR/UPI/DR/618293745520/ORBIT,INDB62354327,28170.0,0.0,4938363.23,2026-08-21,0.0,28170.0,WDL TFR/UPI/DR/618293745520/ORBIT,INDB62354327,UPI,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
72,2026-08-25,2026-08-25,DEP TFR/UPI/CR/529183746001/KIRAN,KKBK98223948,0.0,36330.0,4974693.23,2026-08-25,36330.0,0.0,DEP TFR/UPI/CR/529183746001/KIRAN,KKBK98223948,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
73,2026-08-26,2026-08-26,WDL TFR/UPI/DR/617283945002/KIRAN,SBIN29814600,2934.4,0.0,4971758.83,2026-08-26,0.0,2934.4,WDL TFR/UPI/DR/617283945002/KIRAN,SBIN29814600,UPI,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
74,2026-08-27,2026-08-27,CASH DEP/ORBIT OFFICE SOLUTIONS/BRANCH,INDB53124606,0.0,5347.2,4977106.03,2026-08-27,5347.2,0.0,CASH DEP/ORBIT OFFICE SOLUTIONS/BRANCH,INDB53124606,UNKNOWN,True,DIRECT_LEDGER,85.0,No Razorpay identifier; Customer name 'SOLUTIONS' found. points toward direct payment.
75,2026-08-28,2026-08-28,DEP TFR/UPI/CR/728193640411/DELTA,AXIS93669885,0.0,51205.0,5028311.03,2026-08-28,51205.0,0.0,DEP TFR/UPI/CR/728193640411/DELTA,AXIS93669885,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
76,2026-08-31,2026-08-31,DEP TFR/UPI/CR/629183740512/MEERA,YESB30390666,0.0,30600.0,5058911.03,2026-08-31,30600.0,0.0,DEP TFR/UPI/CR/629183740512/MEERA,YESB30390666,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
77,2026-09-01,2026-09-01,WDL TFR/IMPS/DR/DELTA MEDIA HOUSE,ICICI35058058,5256.0,0.0,5053655.03,2026-09-01,0.0,5256.0,WDL TFR/IMPS/DR/DELTA MEDIA HOUSE,ICICI35058058,IMPS,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
78,2026-09-03,2026-09-03,ATM WDL/ORBIT OFFICE SOLUTIONS/ATM11,SBIN79473681,1288.75,0.0,5052366.28,2026-09-03,0.0,1288.75,ATM WDL/ORBIT OFFICE SOLUTIONS/ATM11,SBIN79473681,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
79,2026-09-03,2026-09-03,DEP TFR/NEFT/CR/ARUN TRADERS,HDFC16326188,0.0,67725.0,5120091.28,2026-09-03,67725.0,0.0,DEP TFR/NEFT/CR/ARUN TRADERS,HDFC16326188,NEFT,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
80,2026-09-05,2026-09-05,ATM WDL/GREENFIELD FOODS/ATM09,HDFC70482247,21204.0,0.0,5098887.28,2026-09-05,0.0,21204.0,ATM WDL/GREENFIELD FOODS/ATM09,HDFC70482247,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
81,2026-09-05,2026-09-05,DEP TFR/UPI/CR/781293640515/NOVA,AXIS81071188,0.0,27180.0,5126067.28,2026-09-05,27180.0,0.0,DEP TFR/UPI/CR/781293640515/NOVA,AXIS81071188,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
82,2026-09-07,2026-09-07,CASH DEP/MEERA CONSULTING,ICICI87464505,0.0,29375.0,5155442.28,2026-09-07,29375.0,0.0,CASH DEP/MEERA CONSULTING,ICICI87464505,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
83,2026-09-09,2026-09-09,INT CR/DELTA MEDIA HOUSE,ICICI84124156,0.0,3830.4,5159272.68,2026-09-09,3830.4,0.0,INT CR/DELTA MEDIA HOUSE,ICICI84124156,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
84,2026-09-10,2026-09-10,DEP TFR/UPI/CR/619283740516/NOVA,KKBK21729751,0.0,86175.0,5245447.68,2026-09-10,86175.0,0.0,DEP TFR/UPI/CR/619283740516/NOVA,KKBK21729751,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
85,2026-09-11,2026-09-11,WDL TFR/UPI/DR/518293746017/ARUN,ICICI90131366,3536.0,0.0,5241911.68,2026-09-11,0.0,3536.0,WDL TFR/UPI/DR/518293746017/ARUN,ICICI90131366,UPI,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
86,2026-09-12,2026-09-12,INT CR/ARUN TRADERS,HDFC86189560,0.0,23825.0,5265736.68,2026-09-12,23825.0,0.0,INT CR/ARUN TRADERS,HDFC86189560,UNKNOWN,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
87,2026-09-14,2026-09-14,DEP TFR/UPI/CR/718293640518/MEERA,AXIS75105285,0.0,4387.2,5270123.88,2026-09-14,4387.2,0.0,DEP TFR/UPI/CR/718293640518/MEERA,AXIS75105285,UPI,True,UNKNOWN,30.0,Generic payment narration with insufficient source evidence.
88,2026-09-16,2026-09-16,ACH DR/KIRAN SUPPLIERS/KKBK,KKBK43898806,674.7,0.0,5269449.18,2026-09-16,0.0,674.7,ACH DR/KIRAN SUPPLIERS/KKBK,KKBK43898806,UNKNOWN,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
89,2026-09-18,2026-09-19,WDL TFR/NEFT/DR/ARUN TRADERS,KKBK16777448,2407.2,0.0,5267041.98,2026-09-18,0.0,2407.2,WDL TFR/NEFT/DR/ARUN TRADERS,KKBK16777448,NEFT,False,UNKNOWN,100.0,Debit transactions are not classified for incoming reconciliation.
